Date;Value
01/03/2023;0.15
08/03/2023;0.15
15/03/2023;0.15
22/03/2023;0.15
05/04/2023;0.15
12/04/2023;0.15
19/04/2023;0.15
26/04/2023;0.15
03/05/2023;0.15
10/05/2023;0.16
17/05/2023;0.14
24/05/2023;0.14
03/05/2023;0.13
07/06/2023;0.13
14/06/2023;0.12
21/06/2023;0.11
28/06/2023;0.11
05/07/2023;0.1
12/07/2023;0.1
19/07/2023;0.11
26/07/2023;0.11
02/08/2023;0.11
09/08/2023;0.11
16/08/2023;0.11
23/08/2023;0.11
06/09/2023;0.1
13/09/2023;0.1
20/09/2023;0.1
27/09/2023;0.09
04/10/2023;0.09
11/10/2023;0.08
18/10/2023;0.08
25/10/2023;0.07
01/11/2023;0.07
08/11/2023;0.07
15/11/2023;0.07
22/11/2023;0.07
01/11/2023;0.06
06/12/2023;0.06
13/12/2023;0.06
20/12/2023;0.06
27/12/2023;0.06
03/01/2024;0.06
10/01/2024;0.06
17/01/2024;0.06
24/01/2024;0.06
07/02/2024;0.06
14/02/2024;0.06
21/02/2024;0.06
28/02/2024;0.06
06/03/2024;0.06
13/03/2024;0.06
20/03/2024;0.06
27/03/2024;0.06
03/04/2024;0.06
10/04/2024;0.06
17/04/2024;0.06
24/04/2024;0.05
01/05/2024;0.05
08/05/2024;0.05
15/05/2024;0.05
22/05/2024;0.04
01/05/2024;0.04
05/06/2024;0.04
12/06/2024;0.04
19/06/2024;0.04
26/06/2024;0.04
03/07/2024;0.04
10/07/2024;0.04
17/07/2024;0.04
24/07/2024;0.04
21/10/2024;0.28
25/10/2024;0.27
04/11/2024;0.27
06/11/2024;0.27
07/11/2024;0.27
13/11/2024;0.27
14/11/2024;0.27
20/11/2024;0.275
21/11/2024;0.275
25/11/2024;0.275
26/11/2024;0.275
27/11/2024;0.275
28/11/2024;0.285
03/12/2024;0.285
04/12/2024;0.285
05/12/2024;0.285
06/12/2024;0.285
16/12/2024;0.285
17/12/2024;0.285
19/12/2024;0.039
22/12/2024;0.039
25/12/2024;0.039
28/12/2024;0.28
31/12/2024;0.28
01/01/2025;0.28
04/01/2025;0.29
07/01/2025;0.29
10/01/2025;0.295
13/01/2025;0.295
16/01/2025;0.295
22/01/2025;0.295
25/01/2025;0.295
28/01/2025;0.295
