Année;Trimestre;Mois;Jour;estimated_cell_RMB;Cell_RMB;Ecart;estimation corrigé;nouveau ecart;
2025;Trim 1;mars;26;0,24978;0,303;0,05322;0,300778;0,002222;
2025;Trim 1;mars;27;0,24967;0,303;0,05333;0,300668;0,002332;
2025;Trim 1;mars;14;0,24731;0,298;0,05069;0,298308;-0,000308;
2025;Trim 1;mars;15;0,24731;0,298;0,05069;0,298308;-0,000308;
2025;Trim 1;mars;16;0,24731;0,298;0,05069;0,298308;-0,000308;
2025;Trim 1;mars;19;0,2473;0,298;0,0507;0,298298;-0,000298;
2025;Trim 1;mars;18;0,24724;0,298;0,05076;0,298238;-0,000238;
2025;Trim 1;mars;20;0,24713;0,298;0,05087;0,298128;-0,000128;
2025;Trim 1;mars;17;0,24707;0,298;0,05093;0,298068;-6,8E-05;
2025;Trim 1;mars;21;0,2464;0,298;0,0516;0,297398;0,000602;
2025;Trim 1;mars;22;0,2464;0,298;0,0516;0,297398;0,000602;
2025;Trim 1;mars;23;0,2464;0,298;0,0516;0,297398;0,000602;
2025;Trim 1;mars;25;0,24579;0,3;0,05421;0,296788;0,003212;
2025;Trim 1;mars;24;0,24575;0,298;0,05225;0,296748;0,001252;
2025;Trim 1;mars;13;0,24536;0,298;0,05264;0,296358;0,001642;
2025;Trim 1;mars;12;0,24461;0,295;0,05039;0,295608;-0,000608;
2025;Trim 1;mars;6;0,2445;0,295;0,0505;0,295498;-0,000498;
2025;Trim 1;mars;10;0,24437;0,295;0,05063;0,295368;-0,000368;
2025;Trim 1;mars;7;0,24419;0,295;0,05081;0,295188;-0,000188;
2025;Trim 1;mars;8;0,24419;0,295;0,05081;0,295188;-0,000188;
2025;Trim 1;mars;9;0,24419;0,295;0,05081;0,295188;-0,000188;
2025;Trim 1;mars;11;0,24351;0,295;0,05149;0,294508;0,000492;
2025;Trim 1;mars;5;0,24335;0,293;0,04965;0,294348;-0,001348;
2025;Trim 1;mars;4;0,24309;0,29;0,04691;0,294088;-0,004088;
2025;Trim 1;mars;3;0,24283;0,29;0,04717;0,293828;-0,003828;
;;;;;ecart moyen;0,050998;;-1,33227E-17;
